orcid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0000-0001-5418-0754	0.19751498	0.004892309	-0.3816423	-0.15901038	-0.23343453	0.212232	-0.06274963	0.25688696	0.013447621	-0.090136014	0.048158854	-0.012539176	-0.019404726	-0.043726247	0.016799351	0.03338366	-0.2863542	-0.24189481	-0.06417018	-0.08411469	-0.13446379	0.06484335	-0.31842384	-0.20572844	0.00031896392	0.27646688	-0.35390174	-0.16329688	-0.15106937	0.11643826	-0.1468653	-0.045790352
0000-0001-5421-8222	-0.05851397	0.24864252	0.12461754	0.22869036	0.16982909	0.038567968	-0.00069022673	-0.048480038	0.31089565	-0.15996821	-0.25464988	-0.14537957	-0.0028500345	-0.21713257	0.2231506	-0.0920023	0.20852223	-0.37356433	0.052609723	0.37773496	-0.04058106	0.18840171	0.104416035	0.1380011	-0.04961932	0.18099508	-0.04112783	-0.17611966	-0.15027694	0.14952183	-0.052188445	0.09713319
0000-0001-5430-3937	-0.121840216	-0.33887067	-0.038602233	-0.1651477	0.05312935	0.22341056	-0.12297014	0.2100499	-0.40480477	-0.010820845	0.21263896	0.0111049125	0.081037	0.18967117	-0.15339467	0.08606909	0.002244147	0.34971234	0.1767061	-0.31951198	0.21602201	0.11178624	-0.014487511	0.054625273	0.1693472	-0.19899312	0.15010582	0.16598645	0.04960577	-0.0048894235	0.0048868004	-0.08909519
0000-0001-5441-8638	-0.2611227	-0.18468603	-0.13011317	0.23084322	0.038002413	0.050346993	0.31885448	0.11512875	0.08392397	0.049350247	0.43593636	-0.1453563	-0.13862081	0.089432865	0.17428392	0.14147282	0.11361232	0.1776275	-0.2318316	0.25445122	0.2845291	0.03437741	-0.06660347	-0.24917991	-0.07711827	-0.011048122	0.1016764	0.03252528	-0.017163588	0.05588665	0.14950007	0.23555756
0000-0001-5455-0639	0.10401726	-0.18209814	0.34169516	0.25844765	-0.10521693	0.22580327	-0.4037343	0.22042874	-0.034701645	-0.2278555	-0.108549684	-0.29057428	0.17169032	0.120803446	-0.0006988467	-0.017569924	0.10486214	0.067534395	0.18808159	0.055623397	-0.101324536	0.08046885	0.20561092	-0.12748295	-0.17001735	-0.26973218	-0.10486183	-0.01645472	-0.042443734	-0.16879296	-0.12319313	0.1319466
0000-0001-5524-2291	0.10739344	-0.15805547	0.05459118	-0.21880293	0.0805222	0.01593927	0.19314212	0.21687038	-0.107116714	0.42796436	0.23416758	0.30797222	0.14837669	0.051493842	-0.12109726	-0.08443165	-0.19532287	0.022450589	0.08327404	-0.24497439	-0.2557477	0.19859216	-0.005986216	0.23026545	-0.074438095	0.017687505	0.31719625	0.013244758	0.1426857	0.1406581	0.14257939	0.012867328
0000-0001-5547-2185	0.17194569	0.09947594	-0.06015314	-0.1311609	-0.2352407	-0.21537837	-0.1699228	-0.08160861	0.10482754	0.010696596	-0.034563925	0.17795752	0.074398145	-0.44741586	0.14419189	-0.043132856	-0.070298	-0.31342643	0.16544701	-0.07444168	0.026177783	-0.063572384	0.2076167	0.27482212	-0.10372259	0.010078945	-0.17416243	0.024962379	0.043660138	-0.0056173424	0.10088215	0.4655559
0000-0001-5560-4109	0.12860604	-0.08948566	-0.035875168	0.17603542	-0.35296065	0.0795197	0.11653096	0.09443705	0.15270457	0.10909903	-0.2423016	0.27037296	-0.43595865	0.16319984	0.2331967	-0.26441592	0.005998292	-0.11917076	0.07163567	-0.15557316	-0.116100475	0.22121419	0.09323665	-0.041805543	0.022217354	-0.22616675	0.21545075	-0.09350181	-0.15597193	0.0010084291	0.15965222	0.09327395
0000-0001-5566-382X	-0.029112438	-0.3501485	0.18879768	0.19199133	0.26450786	-0.028825458	-0.14151284	-0.026529985	-0.16717695	-0.13636728	0.064106755	-0.30213892	0.23530328	0.07101128	-0.11028035	0.09846001	0.17701739	0.31913638	-0.02813149	-0.08119264	-0.05468212	-0.019832758	0.022462517	-0.3020053	-0.05965222	-0.018943526	-0.0932872	0.1509605	-0.36546057	-0.15439242	0.24403377	0.016994588
0000-0001-5571-0040	0.080822214	-0.0051151067	-0.188547	-0.1771147	0.049524967	-0.11557356	-0.0259497	-0.012896261	0.16333231	0.014636032	0.056584995	0.11380964	0.20837548	-0.23678076	-0.06574849	-0.057169992	-0.34076768	0.16162011	-0.26280034	0.15967087	0.028973537	-0.21323687	0.24944192	-0.034362745	0.06193758	0.41989395	-0.020547532	-0.22545905	0.13243017	0.29480064	0.22601306	0.16219975
0000-0001-5571-9774	0.28495154	0.06927906	0.22643039	0.04855064	-0.23869972	0.019009579	-0.051010612	-0.20871712	-0.089452	-0.11797466	0.018202431	0.0669711	0.26412377	-0.20900163	0.21400511	-0.017683826	0.115211785	0.117771335	-0.16700462	-0.13446134	-0.2870011	-0.05790721	0.13416655	-0.17479429	-0.34720755	-0.1938799	0.13262607	0.14607681	-0.12178028	-0.30811325	-0.22823058	-0.06533204
0000-0001-5579-5961	-0.16810936	0.010184328	-0.053669766	0.36569914	-0.14995182	-0.16840631	0.22700804	-0.05101851	0.10305237	-0.28513256	-0.1574259	0.16773424	0.12560526	0.2905934	-0.27134553	0.0065857945	0.09236367	-0.18142538	0.0076172412	-0.03957103	-0.24133141	0.040154252	-0.21862486	0.10194646	0.1652775	-0.22828154	-0.061207607	0.13716774	0.24007718	-0.26791218	-0.096704334	-0.09713313
0000-0001-5584-3089	-0.236115	-0.14289077	0.2825671	0.080359235	0.32492185	0.07583022	-0.023034494	0.15864915	0.16708604	0.11650975	0.07259773	0.1605658	-0.05028606	-0.22475019	-0.17974944	0.32906884	-0.13877118	0.041943833	-0.09839712	-0.21869113	0.042431038	-0.109192036	-0.09160683	0.092842765	-0.087065525	-0.21876535	0.026920862	0.1788659	0.09033186	-0.21829696	0.42521387	-0.016983086
0000-0001-5585-6277	-0.06838152	0.33815572	0.07615216	0.01260271	0.17933127	0.23711759	-0.110815674	-0.28086558	0.11888766	-0.17407528	0.027901273	0.2926232	-0.07361948	-0.17029172	-0.1074835	0.20959313	-0.0941732	-0.36107948	-0.12727964	-0.08663824	0.12515642	-0.12576625	0.110609554	-0.28413725	0.089839324	0.06601188	0.23390011	-0.022680003	0.267291	-0.06944991	-0.1728378	-0.11631015
0000-0001-5594-9713	0.17866795	0.4262246	0.0013266385	-0.11659436	-0.3259829	-0.2101373	-0.06891605	-0.22022955	0.11149909	0.17023878	0.008231917	0.016323047	-0.14368057	-0.22900721	0.18408015	-0.051525433	-0.029173635	-0.39693648	-0.15411131	-0.20860863	-0.20763628	-0.023387121	0.13500157	0.23476505	0.21655697	-0.012382866	-0.07548828	0.0016660792	0.08115093	0.07312707	-0.045805197	0.091130674
0000-0001-5609-6628	0.03447491	-0.057009708	-0.20420155	0.13042967	0.1636252	-0.44814762	-0.17929676	-0.14857529	-0.08570807	0.06372426	0.047256928	0.0008808072	-0.18236595	-0.22067338	0.20844504	0.2553059	-0.3135214	0.07726472	0.03376297	0.11481866	-0.06315207	0.073319905	0.26386297	0.022696191	0.0548012	0.19292335	-0.11888062	-0.0011623766	0.33383536	0.19993226	0.06831494	0.20557638
0000-0001-5617-7065	-0.15701376	-0.23225065	0.03943052	-0.035626873	0.13996401	0.21363764	0.025410376	0.33608493	-0.1811498	0.15609445	0.018378431	-0.25601533	0.1057349	0.27556348	-0.07026037	0.2828248	-0.13488762	-0.14100493	0.27390555	0.018008241	0.1379199	-0.16080606	-0.3075805	0.011480151	0.09152431	0.25506666	0.16831096	0.10226678	-0.22413312	-0.10306476	0.027982803	0.13319668
0000-0001-5623-9983	-0.16887982	-0.026450818	-0.023432782	0.03739563	-0.10631349	0.09804265	0.12996438	0.04333474	0.092984885	0.097087175	-0.05962735	0.28528044	-0.10067246	0.22238223	-0.07922071	0.1131538	0.0033826563	-0.1080579	-0.036670405	0.5322399	-0.29481328	0.11299893	0.032393146	-0.4193004	0.18252325	0.06310692	-0.15572329	-0.08692244	-0.24529637	-0.0403403	-0.06138482	-0.19985169
0000-0001-5632-6091	-0.007580494	0.3094201	0.12541597	-0.26535714	0.28636923	-0.13824427	-0.25117785	0.0501637	-0.010074615	0.10503383	0.16245525	0.014212556	-0.069508694	-0.43853563	0.28056535	0.18002757	0.020580241	-0.24550612	-0.17159066	0.1905613	0.030221516	-0.2652484	0.13720334	-0.04152951	0.13225098	0.13105486	0.09286762	0.041927755	0.1304844	0.12857758	0.08578567	0.033068273
0000-0001-5634-2470	0.29863727	0.24188007	0.16696478	-0.024264371	0.0061934316	-0.14597005	-0.113239005	-0.09617507	0.053812753	0.30359307	0.028053911	0.031204969	-0.14077714	-0.380361	0.03448922	-0.20944355	0.010480384	-0.095132165	-0.04910464	-0.16245969	-0.024245724	0.15324144	0.04574288	0.30983657	-0.18976417	0.114090726	0.012843361	0.065113895	0.060046468	-0.27826747	0.1381629	0.40045857
